NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
180010675757;2018;3548500;Santos;35;SP;18;F;0;1;1;3548500;Santos;35;SP;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3548500;Santos;35;SP;1;1;1;1;449;451;455;462;703.2;716.9;689.1;797.8;EBAECCCECDEDDBBCCEDEDDDAECAADBCECBEEBAEACCAAE;CACDDBDDECCEDCEABEEACEDABEBEDAEDEBBEBACAABADA;BBDEC99999CECBABDBACEBDDCABEADECACEDBEBCBADEABDADA;BDCEBDDAACDCCBBDACDDCCCDEBEDACEDBEABCAECAAADA;0;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;160;200;180;200;140;880;D;E;D;B;3;H;A;C;C;B;A;B;B;B;B;B;A;B;B;A;B;D;B;B;B;A;D
180012175838;2018;2606200;Goiana;26;PE;19;M;0;1;2;;;;;1;1;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2606200;Goiana;26;PE;1;1;1;1;448;453;458;460;460.1;442;496.5;606.4;DCBCCCDBDEADBCBCCADACBEBDEAECDABAABCBADECCDAE;ECCBBECDEDCCEADEEECAACBCEDDBADCADCEBCDECBCCBD;ADCBB99999DBEADABECCBCADEBDBBDEDCAAABBCDEBAABCDDAC;ACEECDABCAABDCCBAEEEEBDDCBBADACEBBAABBACDBACB;0;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;140;120;120;120;100;600;E;E;D;B;5;I;A;C;E;B;A;B;B;B;A;B;A;B;C;A;A;E;A;C;B;A;A
180008335984;2018;4322004;Triunfo;43;RS;26;F;0;1;1;4322004;Triunfo;43;RS;1;9;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4318408;São Jerônimo;43;RS;1;1;1;1;448;451;455;460;481.3;562.2;526.4;452.9;ABBCCDEDBCDBCEEBAEDCDAAADACDEBABCAABCCEBBACEE;ABACCACBEDEEECEEDDEABAECEDDAECEACBEDCACCBCECA;99999BEADBDDBEDBEBABEBDDEADEEBACAECDCCAAEBDEAACBAE;CBBCABABDCAEADABAEECBCDBADACBDEDADCDDBECACEDB;1;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;140;140;120;140;40;580;B;D;C;B;3;C;A;B;C;A;A;B;B;A;A;B;A;A;B;A;A;B;A;A;B;A;A
180007558258;2018;2802601;Gracho Cardoso;28;SE;20;M;0;3;1;2804508;Nossa Senhora da Glória;28;SE;1;1;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2804508;Nossa Senhora da Glória;28;SE;1;1;1;1;448;451;455;460;399.3;568.5;522.8;483.9;CADEBDEBDDBCBCABDECCDBABAEDDBAACDADBCAECDECBA;EDECCBCACBBEDEAEBCDDAACADCEEBACCCCAAEAEAEBBDA;99999DBEDBABECDBBBACABEDCABEBBBCADBEEBEABBCCAADBEC;BCCAABDECCADDCABEEAABCABECDEACDCABBCACBACADDE;1;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;120;120;120;140;80;580;C;B;A;A;3;A;A;B;C;A;B;B;B;A;A;A;A;A;B;B;A;B;A;A;A;A;A
180011117659;2018;3548708;São Bernardo do Campo;35;SP;20;F;0;1;1;3548708;São Bernardo do Campo;35;SP;1;3;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3548708;São Bernardo do Campo;35;SP;1;1;1;1;448;453;458;460;539.8;658.1;676.7;623.1;ACAEAEBCEAABBDEEACBCADECDACDAECAADDDCADCAECAE;ECBBDEBAAAEDBDAADEDAEABDEDCDEBDEAEECAAEEAEBCE;99999DBCEBDCDABEAACBABADBBBCECBDDBEADDADAEEDABABBC;ACACBEDBCAABDDAABBAEBCEDDBACBBBDBABBDDDEDBEBB;1;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;200;140;180;200;120;840;F;F;D;D;5;I;A;E;D;A;A;B;B;B;B;B;A;B;C;B;B;E;B;E;B;A;E
180012930040;2018;3530706;Mogi Guaçu;35;SP;18;M;0;1;1;3530706;Mogi Guaçu;35;SP;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3530706;Mogi Guaçu;35;SP;1;1;1;1;447;451;455;459;444.8;582.5;542.1;704.4;BDBAACADEEBABEECAAEDCBACCDBAAAAABCDECDCDBBBAE;AABECBADCCCCEEEABEECAACDDBDCCAEAEEBBAABCBBAAB;BBBEC99999ACEECBDBCCDADDBDBBAACBADABCBCBBADACEABBA;EEDBEBDBEDADADBAADBDCABADDBBCAEDBBDEEACBDDBDA;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;120;40;40;120;40;360;E;G;D;D;4;L;A;C;D;B;D;B;B;B;A;B;A;B;C;A;A;E;B;D;B;A;A
180008442309;2018;3304557;Rio de Janeiro;33;RJ;20;F;0;0;2;;;;;1;1;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3304557;Rio de Janeiro;33;RJ;1;1;1;1;449;451;455;462;476.7;521.7;509.2;479.7;ACEABBBEDDCADEEEBDEACEACAEEBDDBEADBACEABEADCE;CABDCCCEACBEDACBDACCEDAAECBDAACACBECEDCADBDAD;DEAED99999DEBCAADDABAEBDCEBEBDEAAABBDADCBADECEBDEB;EDBCADDECADBADCDACACBDBECAEDBCBAEADCBAECABDCB;0;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;120;120;120;80;560;E;B;D;D;4;C;A;B;C;B;A;B;B;B;B;B;A;A;C;A;A;E;B;B;B;A;A
180013301819;2018;5108402;Várzea Grande;51;MT;33;F;;3;1;5106505;Poconé;51;MT;1;12;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5108402;Várzea Grande;51;MT;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;C;A;3;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;B;C;A;A;B;A;A
