NU_INSCRICAO,NU_ANO,NU_IDADE,TP_SEXO,COD_MUNICIPIO_INSC,NO_MUNICIPIO_INSC,UF_INSC,ST_CONCLUSAO,IN_TP_ENSINO,IN_CERTIFICADO,IN_BRAILLE,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_UNIDADE_PRISIONAL,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_GESTANTE,IN_LACTANTE,IN_LEITURA_LABIAL,IN_SABATISTA,IN_SURDEZ,TP_ESTADO_CIVIL,TP_COR_RACA,PK_COD_ENTIDADE,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,ID_DEPENDENCIA_ADM_ESC,ID_LOCALIZACAO_ESC,SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,UF_MUNICIPIO_PROVA,IN_PRESENCA_CN,IN_PRESENCA_CH,IN_PRESENCA_LC,IN_PRESENCA_MT,NU_NT_CN,NU_NT_CH,NU_NT_LC,NU_NT_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,TP_LINGUA,GABARITO_CN,GABARITO_CH,GABARITO_LC,GABARITO_MT,IN_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,IN_CONCLUINTE_CENSO,COD_ETAPA_ENSINO_CENSO,COD_ENTIDADE_CENSO,COD_MUNICIPIO_ESC_CENSO,NO_MUNICIPIO_ESC_CENSO,UF_ESC_CENSO,ID_DEPENDENCIA_ADM_CENSO,ID_LOCALIZACAO_CENSO,SIT_FUNC_CENSO
3000008804782011 1703548708SAO BERNARDO DO CAMPO                                                                                                                                 SP210000000000000000000002350460123548708SAO BERNARDO DO CAMPO                                                                                                                                 SP2113548708SAO BERNARDO DO CAMPO                                                                                                                                 SP1111   583.10   581.40   553.40   587.10CEDAAAABCACADADAACDECBEBDAECEABCEEACADABCBACEDEEAAAABAADCEDAECDCAEEECBBEBCDAADBBADADBCAACAEEABCAAEDBADDEAAADABABCBDADCEABDAEBCDBEABAEAEEABBCBDEADAABCDDAEADEAACBADDCADDACDECCACAAEDD1241201271310CECDDACBCAEBEBBACEEDCAEBDAEDADBEBBDDADCBCBACDDEECEBABAADDEBAECDCACEDCBBEBCDCAADBADDDBAEACAEEDBDDBDCAEDECDADDCAABBEDACBADECCEABDAEBCDCBABCEAEEEBACBBCEEEECABDEECBCDBACBDEDADCCBCDCCECACCDDP   140.00   140.00   140.00   140.00    20.00   580.00127350460123548708SAO BERNARDO DO CAMPO                                                                                                                                 SP211
3000032283302011 2013138203LAVRAS                                                                                                                                                MG110000000000000000000011       .      .                                                                                                                                                        ...3138203LAVRAS                                                                                                                                                MG0000      .        .        .        .                                                                                                                                                                                      1211171251291DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCAEDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABAEEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEEBAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDDF     0.00     0.00     0.00     0.00     0.00     0.000 .       .      .                                                                                                                                                        ...
3000019158522011 1803205200VILA VELHA                                                                                                                                            ES210000000000000000000003320389413205200VILA VELHA                                                                                                                                            ES2113205200VILA VELHA                                                                                                                                            ES1111   588.00   604.80   610.80   629.90BCEADDABACADCBBCCEACCDDEDECBEABCABCBDEABCBDCEEDEBAECEDBDAACAEECDBBCAECACDABDEABADBBDACAABAEEDBDCDADAABEBDECAACDABDDAABCECAEDCEBCBACDEEEBAEAEDECAEBAEEDEDBDACABEADCCCCADABAACECCCDACD1211171251290DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCAEDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABAEEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEEBAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDDP   120.00   120.00   100.00    60.00    20.00   420.00127320389413205200VILA VELHA                                                                                                                                            ES211
3000014748702011 1514311304LAGOA VERMELHA                                                                                                                                        RS3 0000000000000000000001       .      .                                                                                                                                                        ...4311304LAGOA VERMELHA                                                                                                                                        RS0000      .        .        .        .                                                                                                                                                                                      1211171251290DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCAEDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABAEEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEEBAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDDF     0.00     0.00     0.00     0.00     0.00     0.000 .       .      .                                                                                                                                                        ...
3000003091952011 1814317103SANTANA DO LIVRAMENTO                                                                                                                                 RS110000000000000000000001       .      .                                                                                                                                                        ...4317103SANTANA DO LIVRAMENTO                                                                                                                                 RS1111   582.30   573.40   588.10   704.90CECACACBEADBBDDCEBBDEAEACBEDDBEEADCBCDEBCBACDBAECABABCADDEBBEEDCADCACBBECCAAAADADDBDBDEADAEEDBDCDDDACDEBDCCAABEADCAEEBDCEACDCEBCBACBBDEBAEDECCADCBCBECEBBACCABEADCDEACBCDCDCEBCCACDD1241201251290CECDDACBCAEBEBBACEEDCAEBDAEDADBEBBDDADCBCBACDDEECEBABAADDEBAECDCACEDCBBEBCDCAADBADDDBAEACAEEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEEBAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDDP   160.00   140.00   140.00   180.00   160.00   780.000 .       .      .                                                                                                                                                        ...
3000004637322011 2013550308SAO PAULO                                                                                                                                             SP110000000000000000000001       .      .                                                                                                                                                        ...3550308SAO PAULO                                                                                                                                             SP1111   695.70   699.00   663.00   760.90ACECDDCABECBECCBACBEEDDACBEAAECCBCBDBCBAAEADCEEBBECEADAABCCACCEDCEDBBADCDECBAADADEDDEAAEABEEDBDEBEBDAADCAACEEDACCBDECCEABDAABCDCBABCEAEEEBACBBCAEDECABDEECBDADACBDEDADBCCCCCCCCCCCCC1231191271310ACECDDCABECBECBBACAEEEDABDEDADDBBEBDBCBADCADCEEDBECEADAABDCACCEDCEDBBACCDECBAADADBDDBAAEABEEDBDDBDCAEDECDADDCAABBEDACBADECCEABDAEBCDCBABCEAEEEBACBBCEEEECABDEECBCDBACBDEDADCCBCDCCECACCDDP   120.00   140.00   140.00   120.00   120.00   640.000 .       .      .                                                                                                                                                        ...
3000009884012011 2212307650MARACANAU                                                                                                                                             CE110000000000000000000003       .      .                                                                                                                                                        ...2307650MARACANAU                                                                                                                                             CE1111   433.10   560.40   580.90   628.90ACBDDDACDEBCCDEEABACBBAEDABDECCAABEEAACAECECAEBABAAAEDBBAACADECEBBCDBCDBDCDAEADADBBCBCDABABDDCCEBDDAAAEBAEEADCDBBBDEAECEEDADCABCBACCBEEBAEBEDECAEBEAECEABAEECCEAECDAEEBADCBCAECCBBBD1211171251291DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCAEDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABAEEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEEBAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDDP   140.00   120.00   140.00    80.00   140.00   620.000 .       .      .                                                                                                                                                        ...
3000000983892011 1912509701MONTEIRO                                                                                                                                              PB110000000000000000000001       .      .                                                                                                                                                        ...2509701MONTEIRO                                                                                                                                              PB1111   413.00   397.40   489.50   556.90BABBDAABBEAABEBCADDCCAEDDDBEDEBAACEAADECEDCBEBDCDDECAABDCBABBBDCCCECEBDAADDADCBBABCABEBDABACDEADCAAEDEBABEBDBCDBCACBEEACAEBDECABDABEEEEBEADCDECBDEACDEEEACDAACBCAAAEEBADDEBADACACECD1221181281321ADCECDEBABCCEABBCECAEDEABDAEDBBDDBEDCDACBBCADEDEECBDDABAAEABCDECEDCACBBCCDAAEBDDADDBBAEACADEEDBDBDACDEADDDECBECAABCDADABCCEBEACBDEDACBACBEEAEEABBCECEBCEEEECDABDACBEDDBBCCCADDCBCCDDCCECAN     0.00     0.00     0.00     0.00     0.00     0.000 .       .      .                                                                                                                                                        ...
