NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;IN_ESTUDA_CLASSE_HOSPITALAR;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;ID_DEPENDENCIA_ADM_ESC;ID_LOCALIZACAO_ESC;SIT_FUNC_ESC;NU_IDADE;TP_SEXO;NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_AUTISMO;IN_SABATISTA;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;IN_PRESENCA_CN;IN_PRESENCA_CH;IN_PRESENCA_LC;IN_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;GABARITO_CN;GABARITO_CH;GABARITO_LC;GABARITO_MT;IN_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075;Q076
130005711051;2013;3304201;RESENDE;33;RJ;0;;;;;;;;;20;F;1;3304201;RESENDE;33;RJ;4;;;;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO RIO DE JANEIRO;33;RJ;3304201;RESENDE;33;RJ;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;G;C;C;3;B;B;B;A;D;A;D;D;A;D;D;C;A;A;D;D;A;B;4;5;0;5;3;5;5;C;B;A;F;C;A;A;A;B;A;18;E;3;0;0;5;0;A;B;B;B;A;B;A;A;A;B;B;B;B;A;A;B;B;A;B;B;B;B;B;B;A;B;A;B;B;C
130005715752;2013;2303709;CAUCAIA;23;CE;0;;;;;;;;;27;F;1;3547809;SANTO ANDRE;35;SP;1;2004;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;2303709;CAUCAIA;23;CE;1;1;0;0;171;167;175;179;586.00;588.70;;;BBDBCBEBDAABBDACDCCDACAACEABEBBABAEECBBCCBDCA;DBDBAEDBDCADEACEEBDEEDDEDCAABDECBEDCCCCACCCBA;.............................................;.............................................;1;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;;;6;0;0;0;0;0;0;E;E;C;3;A;B;A;A;A;D;D;D;A;D;D;A;D;D;D;D;A;B;5;5;5;5;5;0;0;B;A;C;B;A;C;B;B;B;B;21;C;5;5;5;5;5;B;B;A;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
130008374873;2013;3556206;VALINHOS;35;SP;0;;;;;;;;;17;M;1;3556206;VALINHOS;35;SP;3;;;;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;3556206;VALINHOS;35;SP;1;1;1;1;172;168;175;179;501.60;422.70;368.00;545.00;EDCBEEABBEDBCCECADDDCCBBCABCBAEBCBDDDABBAAEAB;BEBACBBABDDBEEAECADBEEAEEACBEABCBAAACDADCABCE;CBEBBCCCAACABDBECBDADCCAACEADDEEBDBBCEBCDDAAE;CAACEAABEEBBCDEDDCAAAEECCBABBCDBEECBDDAABECDC;0;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;100;60;60;100;0;320;C;C;F;3;A;B;B;C;B;B;A;A;A;D;A;C;A;D;A;D;A;A;4;4;2;4;1;5;5;B;A;A;C;A;A;A;A;B;A;16;E;1;0;5;5;5;A;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130010348240;2013;3516309;FRANCISCO MORATO;35;SP;0;35985659;3516309;FRANCISCO MORATO;35;SP;2;1;1;27;M;1;3509007;CAIEIRAS;35;SP;2;;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;3516309;FRANCISCO MORATO;35;SP;1;1;1;1;174;170;177;181;511.70;566.70;495.00;572.60;ABBDEBABBEBEADECEBEADCBDECAADCDAAECCBECBDBCDC;BBDCBEABCDDDABCCAAEAEAACCCEEAEABBBACADADCCBAD;DBEBCCACBCEDEADEEACEBCDEABCC*BBEBDCECBADAEDDA;BDADDADDCAECBEACCBDCCBECDDDBBEBBBAB*BDBEDCDCE;0;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;100;80;80;0;340;I;E;D;8;C;B;A;A;A;D;D;D;A;D;D;A;D;D;D;D;A;A;5;5;0;5;5;5;5;G;D;A;F;C;A;A;A;B;A;18;E;5;5;2;3;0;B;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130008817154;2013;3123858;ENTRE FOLHAS;31;MG;0;;;;;;;;;15;F;1;3113404;CARATINGA;31;MG;3;;;;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;3113404;CARATINGA;31;MG;1;1;1;1;173;169;177;181;554.00;637.90;605.90;746.00;BDAAADDAEEECDAADCECDBBCACCDBBDACCCBBDDABBDCDB;ADEEACEDBABCCDCDBAEDBECBBDBDBABEACBACACCACCAC;CCAEBCDDCCACEDBDDACEBCECABBBABEEECCACBAEACBBD;EBECDCDECACCDDAECDACEDABBDBEEBDCBACADAEEDCEDC;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;120;80;80;120;80;480;E;H;D;5;A;B;A;D;D;A;A;D;A;D;D;B;A;D;D;D;A;C;5;4;0;5;0;5;3;B;A;A;F;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130006401936;2013;3550308;SAO PAULO;35;SP;0;;;;;;;;;15;M;1;3550308;SAO PAULO;35;SP;4;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;173;169;175;179;458.20;502.00;404.30;442.60;EBDABDCEDDBCEDACABCAECCBAEEACAEBCCCDDBBEDEDAE;DBAAEBAABCBACDBCDDDDCCDEBEBEEADBADDDAACCACBAD;AADDBECCBAAEEDDDAABBEAACCECAEBCDDCDBAEBCBBADE;ECEBADDBCDDDADEDDBDCABADBACACADBAABBDCAADACAC;0;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;100;60;80;100;0;340;C;B;F;4;A;B;B;A;A;A;D;A;A;A;A;C;A;A;D;D;B;C;5;5;0;5;5;5;5;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130007090276;2013;4314902;PORTO ALEGRE;43;RS;0;43108903;4314902;PORTO ALEGRE;43;RS;2;1;1;19;M;1;4314902;PORTO ALEGRE;43;RS;2;;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;4314902;PORTO ALEGRE;43;RS;1;1;1;1;174;170;177;181;428.10;541.40;456.00;428.00;ABDAECDBEDEBDEDCEACCEEBCCAAACCCABDCCBDBCDBCBC;ABCCDBBBBBEDABBCEAECCADBCADCEEEEACEDDBDDCCBAC;DCEDDABDDBCBEEDEDACCEAACBEAABBBDBBEDEEACABDBA;BEBDCBEDCDECEAABADCCCDDBBBCCBEBDCBCDABCDBABCD;0;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;120;100;120;120;60;520;E;B;C;4;A;B;C;C;C;A;D;A;A;A;A;C;A;A;A;D;A;A;5;4;5;5;5;5;5;C;A;A;F;A;A;A;A;A;A;18;B;5;0;5;5;0;A;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130010019117;2013;3149150;PEDRAS DE MARIA DA CRUZ;31;MG;0;;;;;;;;;41;F;1;3135209;JANUARIA;31;MG;1;2012;;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;3135209;JANUARIA;31;MG;1;1;1;1;174;170;176;180;499.60;480.50;504.30;550.40;BBBAECEABABADCDCEDABEBBDBDBEDBDDBDCCEECDDBAEB;CDEBEEBAADACADCCDC*BDBACCAEAEAEBCBAEACEDBABDC;BDCCBAEACCBCDBDDBBDBCDABCEBBDCBCEEDBCABEDECCE;CBBBADAEEEECEDCDBDECCBCEDEBDBEBBEECCCAEADDDED;1;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;120;100;100;100;100;520;A;A;C;9;A;B;A;D;D;D;D;D;A;D;D;C;D;D;D;D;B;A;3;4;4;5;3;5;2;B;B;A;E;E;A;A;A;B;A;13;D;3;3;3;4;3;A;B;B;B;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
130008204376;2013;3518800;GUARULHOS;35;SP;0;;;;;;;;;24;F;1;3518800;GUARULHOS;35;SP;1;2007;;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;3518800;GUARULHOS;35;SP;1;1;1;1;172;168;176;180;557.30;599.70;533.50;686.20;ABBCCCCCB*CCCCEEAABDAEEDCEECEABCBBDCBDDBBEEBC;CEEBBDBBAACCADCCACDBCBCEDEDAECACAACADBBBCDEAC;BDCCBAEACECAEEDBBBEDEDAEADBCDCAEECCBAACDDEEAE;CAECDDBABCACAADBADBBCDDDDCBDBECDDDDBDEECABEDC;1;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;140;160;160;140;20;620;E;E;F;3;D;B;B;A;D;A;A;A;A;D;A;B;A;D;D;D;A;B;5;2;0;5;0;5;0;B;A;A;B;A;A;A;A;B;A;16;E;5;3;5;5;5;A;A;B;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
